scale_group,scale,instance_idx,variant,policy_ablation,satellites,tasks,num_prefs,hv,igd,igd_norm,hv_gap_to_full_percent,seconds,seconds_per_pref,avg_scheduled,points,nd_points,reference_hv
Small,s3_n100,0,Full,final_pair_self_cross,3,100,50,0.31779761750987706,0.0,0.0,0.0,0.8476696014404297,0.016953392028808592,25.88,50,8,0.31779761750987706
Small,s3_n100,0,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.21700787795721774,0.12975213363330018,0.9012032547107935,31.71507084993386,0.6215524673461914,0.012431049346923828,21.0,50,4,0.31779761750987706
Small,s3_n100,0,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.21714306784508852,0.12551501104842222,0.7962920804660396,31.672531233391084,0.716111421585083,0.01432222843170166,23.4,50,2,0.31779761750987706
Small,s3_n100,0,w/o preference conditioning,final_pair_no_preference,3,100,50,0.26654896221984603,0.07271651588901586,0.5436170410677084,16.12619241503226,0.7078742980957031,0.014157485961914063,26.0,50,1,0.31779761750987706
Small,s3_n100,1,Full,final_pair_self_cross,3,100,50,0.3210161192857601,0.0,0.0,0.0,0.728100061416626,0.01456200122833252,25.7,50,11,0.3210161192857601
Small,s3_n100,1,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.20932497490519056,0.12864855519602042,0.54715833376272,34.79300186827847,0.6172692775726318,0.012345385551452637,19.7,50,5,0.3210161192857601
Small,s3_n100,1,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.20403000507963093,0.15545900324267795,0.5505157560092544,36.44244235037657,0.6280007362365723,0.012560014724731445,19.68,50,4,0.3210161192857601
Small,s3_n100,1,w/o preference conditioning,final_pair_no_preference,3,100,50,0.2354424328055937,0.13379364204054497,0.434415250478348,26.657130698160042,0.7253913879394531,0.014507827758789062,26.0,50,1,0.3210161192857601
Small,s3_n100,2,Full,final_pair_self_cross,3,100,50,0.29502065452307014,0.0,0.0,0.0,0.8435933589935303,0.016871867179870607,23.28,50,7,0.29502065452307014
Small,s3_n100,2,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.1932118842933403,0.16380608526319104,0.45069478875487057,34.509031374197754,0.665837287902832,0.013316745758056641,21.7,50,2,0.29502065452307014
Small,s3_n100,2,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.19245740386783192,0.11486954668530805,0.47172942145610486,34.764769545048225,0.8331198692321777,0.016662397384643556,20.26,50,4,0.29502065452307014
Small,s3_n100,2,w/o preference conditioning,final_pair_no_preference,3,100,50,0.1932214311855294,0.1631222748405652,0.584523986383131,34.505795366127565,0.7465336322784424,0.014930672645568847,21.0,50,1,0.29502065452307014
Small,s3_n100,3,Full,final_pair_self_cross,3,100,50,0.2842238423735152,0.006704880893460936,0.026446075895086473,0.0,0.8315777778625488,0.016631555557250977,22.04,50,8,0.2847742782705035
Small,s3_n100,3,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.22614302972105707,0.10450805375877674,0.2623570834252698,20.43488405737994,0.8339989185333252,0.016679978370666503,19.16,50,4,0.2847742782705035
Small,s3_n100,3,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.24008147091072024,0.06240381715014518,0.1899427809296969,15.530847480692668,0.7979204654693604,0.015958409309387207,20.38,50,4,0.2847742782705035
Small,s3_n100,3,w/o preference conditioning,final_pair_no_preference,3,100,50,0.19040781403730997,0.2110687239898899,0.5144541882053029,33.00779679591979,0.7759003639221191,0.015518007278442382,21.0,50,1,0.2847742782705035
Small,s3_n100,4,Full,final_pair_self_cross,3,100,50,0.3311338472717184,0.0,0.0,0.0,0.9590609073638916,0.019181218147277832,24.48,50,10,0.3311338472717184
Small,s3_n100,4,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.2633344878613809,0.05583788626767502,0.30397556420420174,20.474910664962433,0.7659511566162109,0.015319023132324219,19.5,50,6,0.3311338472717184
Small,s3_n100,4,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.2804262641528914,0.06026031149988677,0.21572198830412254,15.313319232273436,0.8058300018310547,0.016116600036621093,20.66,50,6,0.3311338472717184
Small,s3_n100,4,w/o preference conditioning,final_pair_no_preference,3,100,50,0.23563045071046762,0.1870195991064843,0.46174579539768423,28.84132726029773,0.9061882495880127,0.018123764991760254,25.0,50,1,0.3311338472717184
Small,s3_n100,5,Full,final_pair_self_cross,3,100,50,0.33855799852111806,0.0,0.0,0.0,0.8817198276519775,0.017634396553039552,24.62,50,7,0.33855799852111806
Small,s3_n100,5,w/o exact-oracle teacher,final_pair_self_cross,3,100,50,0.22817507124536907,0.1397207181088776,0.5541675641958494,32.603845650648154,0.7672300338745117,0.015344600677490234,19.26,50,4,0.33855799852111806
Small,s3_n100,5,w/o trajectory-level labels,final_pair_self_cross,3,100,50,0.25095932183131797,0.09454044472094335,0.40394959624267507,25.874053211693948,0.8800990581512451,0.017601981163024902,22.0,50,4,0.33855799852111806
