scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s10_n200,0,20260701,IBEA,10,200,0.26316954379943147,0.13024552090857022,0.27524890122423984,0.0,111.58665060997009,26,26,,0.3138002551169027
s10_n200,0,20260701,MOEA/D,10,200,0.24904261769724784,0.13141286337687358,0.2777158554005638,0.0,91.18622541427612,20,20,,0.3138002551169027
s10_n200,0,20260701,MONP,10,200,0.3138002551169027,0.02965533089660838,0.06267084800914335,0.15,20.33043360710144,50,10,68.34,0.3138002551169027
s10_n200,0,20260701,NSGA-II,10,200,0.2394067938860798,0.14032022204780642,0.2965398477335174,0.0,91.96004796028137,12,12,,0.3138002551169027
s10_n200,0,20260701,KDPCS,10,200,0.33319605991368245,0.002297292909101047,0.004854887481805858,0.85,0.5329709053039551,50,17,72.84,0.3138002551169027
s10_n200,0,20260701,SPEA2,10,200,0.25152599714594753,0.14388227518291904,0.30406756311829725,0.0,102.8690402507782,20,20,,0.3138002551169027
s10_n200,1,20260701,IBEA,10,200,0.22924854717119972,0.14867026028941954,0.2766877999441641,0.0,114.81939482688904,25,25,,0.29470517441406296
s10_n200,1,20260701,MOEA/D,10,200,0.2732427781802639,0.11765198240205045,0.21896018818102217,0.0,92.5253643989563,13,13,,0.29470517441406296
s10_n200,1,20260701,MONP,10,200,0.27891369168662095,0.03947600498304763,0.07346814990490493,0.047619047619047616,21.89442801475525,50,13,68.98,0.29470517441406296
s10_n200,1,20260701,NSGA-II,10,200,0.2138800046169095,0.15352926659454275,0.28573081743711887,0.0,99.31414723396301,32,32,,0.29470517441406296
s10_n200,1,20260701,KDPCS,10,200,0.29470517441406296,0.0005202417418820073,0.0009682134323316068,0.9523809523809523,0.5343620777130127,50,20,73.24,0.29470517441406296
s10_n200,1,20260701,SPEA2,10,200,0.21802424277325622,0.1623391699160229,0.3021267850166187,0.0,108.42010831832886,33,33,,0.29470517441406296
s10_n200,2,20260701,IBEA,10,200,0.27111404115126847,0.12300027530245125,0.307414288320933,0.0,84.42057037353516,25,25,,0.3120188933011561
s10_n200,2,20260701,MOEA/D,10,200,0.28914961914146814,0.11088264615371662,0.27712872731925764,0.0,61.52626395225525,7,7,,0.3120188933011561
s10_n200,2,20260701,MONP,10,200,0.3120188933011561,0.026528389996954258,0.06630234047168289,0.23529411764705882,16.525861024856567,50,10,70.4,0.3120188933011561
s10_n200,2,20260701,NSGA-II,10,200,0.2830302532563606,0.11374526840540654,0.2842832721369096,0.0,68.36286330223083,28,28,,0.3120188933011561
s10_n200,2,20260701,KDPCS,10,200,0.3747857441109299,0.01283943248688739,0.03208956232573972,0.7647058823529411,0.5425772666931152,50,13,74.28,0.3120188933011561
s10_n200,2,20260701,SPEA2,10,200,0.27723915266917326,0.1192535957378266,0.29805022121544483,0.0,68.62961053848267,21,21,,0.3120188933011561
s10_n200,3,20260701,IBEA,10,200,0.26982097607703603,0.14257156167434992,0.32456862919054646,0.0,21.3787579536438,10,10,,0.36007376423186443
s10_n200,3,20260701,MOEA/D,10,200,0.29917712415360015,0.1282988779847357,0.29207641738052603,0.0,64.65227460861206,10,10,,0.36007376423186443
s10_n200,3,20260701,MONP,10,200,0.33407409942240346,0.06658995469760352,0.15159411919347843,0.0,14.394622325897217,50,10,67.7,0.36007376423186443
s10_n200,3,20260701,NSGA-II,10,200,0.26862664902541633,0.14205462856714868,0.3233918147682513,0.0,14.861205816268921,10,10,,0.36007376423186443
s10_n200,3,20260701,KDPCS,10,200,0.36007376423186443,0.0,0.0,1.0,0.5241332054138184,50,17,72.72,0.36007376423186443
s10_n200,3,20260701,SPEA2,10,200,0.26707904429034013,0.13850601860522493,0.3153132929554351,0.0,25.024068117141724,12,12,,0.36007376423186443
s10_n200,4,20260701,IBEA,10,200,0.2479562639121333,0.1302095371158697,0.4138800500581095,0.0,81.3348650932312,27,27,,0.3096093203776781
s10_n200,4,20260701,MOEA/D,10,200,0.2442446229377506,0.12791454459720825,0.40658525706870396,0.0,59.23837947845459,17,17,,0.3096093203776781
s10_n200,4,20260701,MONP,10,200,0.3096093203776781,0.021393708469610563,0.06800138706008702,0.21428571428571427,14.52545714378357,50,10,65.22,0.3096093203776781
s10_n200,4,20260701,NSGA-II,10,200,0.24127899273942657,0.1297430582595307,0.4123973146403434,0.0,61.96959733963013,19,19,,0.3096093203776781
s10_n200,4,20260701,KDPCS,10,200,0.3337338772380463,0.002463856580343439,0.007831539128359754,0.7857142857142857,0.5012929439544678,50,11,69.3,0.3096093203776781
s10_n200,4,20260701,SPEA2,10,200,0.23905570769567142,0.13819553710596325,0.43926410524235254,0.0,65.26216268539429,17,17,,0.3096093203776781
s10_n200,5,20260701,IBEA,10,200,0.27175698358499567,0.12786817281923854,0.3566766697511176,0.0,78.28156089782715,20,20,,0.329006788860216
s10_n200,5,20260701,MOEA/D,10,200,0.27632935412854737,0.12217279268217847,0.340789923460272,0.0,46.89769959449768,8,8,,0.329006788860216
s10_n200,5,20260701,MONP,10,200,0.329006788860216,0.02825584220773066,0.07881710888223557,0.16666666666666666,14.744580507278442,50,7,72.54,0.329006788860216
s10_n200,5,20260701,NSGA-II,10,200,0.2655852511840355,0.1337877631397504,0.37318883001163755,0.0,59.68439602851868,14,14,,0.329006788860216
s10_n200,5,20260701,KDPCS,10,200,0.34545822756921274,0.0022493324593351335,0.0062743088688136635,0.8333333333333334,0.5357213020324707,50,13,74.16,0.329006788860216
s10_n200,5,20260701,SPEA2,10,200,0.2577638759636266,0.13912972839330154,0.3880897575415579,0.0,57.380937814712524,17,17,,0.329006788860216
s10_n200,6,20260701,IBEA,10,200,0.27085766570507613,0.12799106518496572,0.35490152541730197,0.0,78.969393491745,23,23,,0.35481509274693673
s10_n200,6,20260701,MOEA/D,10,200,0.2878674395746078,0.10960105609632621,0.3039085731470457,0.0,57.90490412712097,13,13,,0.35481509274693673
s10_n200,6,20260701,MONP,10,200,0.35481509274693673,0.0325481549518253,0.09025153298965104,0.15384615384615385,14.26337194442749,50,9,70.26,0.35481509274693673
s10_n200,6,20260701,NSGA-II,10,200,0.2604469330513153,0.13326633186393347,0.3695291104650794,0.0,62.96250247955322,22,22,,0.35481509274693673
s10_n200,6,20260701,KDPCS,10,200,0.32917609925348296,0.003281876942144261,0.009100190949388891,0.8461538461538461,0.5375559329986572,50,13,73.64,0.35481509274693673
s10_n200,6,20260701,SPEA2,10,200,0.2576423526216323,0.13253079889150884,0.3674895792405289,0.0,28.586575269699097,16,16,,0.35481509274693673
s10_n200,7,20260701,IBEA,10,200,0.2243683693837641,0.18353476636124197,0.46494958666592767,0.0,73.96582293510437,21,21,,0.3022273244554886
s10_n200,7,20260701,MOEA/D,10,200,0.2653710864901372,0.13653311758206205,0.34588006318674175,0.0,66.78342866897583,15,15,,0.3022273244554886
s10_n200,7,20260701,MONP,10,200,0.3210169731387798,0.027590540682310927,0.06989526148348824,0.0,14.188543319702148,50,10,67.82,0.3022273244554886
s10_n200,7,20260701,NSGA-II,10,200,0.21682290889340575,0.19160019883377824,0.4853817890695133,0.0,61.40039396286011,20,20,,0.3022273244554886
s10_n200,7,20260701,KDPCS,10,200,0.3022273244554886,0.0,0.0,1.0,0.5383956432342529,50,19,72.6,0.3022273244554886
s10_n200,7,20260701,SPEA2,10,200,0.23310284881946583,0.1803439335110757,0.45686623306367435,0.0,67.32891511917114,25,25,,0.3022273244554886
s10_n200,8,20260701,IBEA,10,200,0.2449948874340762,0.16150106849539547,0.3603690744502283,0.0,100.02572178840637,27,27,,0.32852069747031215
s10_n200,8,20260701,MOEA/D,10,200,0.25639266476863676,0.15757238444531318,0.3516027161336832,0.0,83.62703585624695,21,21,,0.32852069747031215
s10_n200,8,20260701,MONP,10,200,0.3140346610057019,0.0321660209962201,0.07177438095702095,0.0,18.568037271499634,50,10,70.02,0.32852069747031215
s10_n200,8,20260701,NSGA-II,10,200,0.2469945055105044,0.160525686196571,0.35819263302146753,0.0,76.56446480751038,22,22,,0.32852069747031215
s10_n200,8,20260701,KDPCS,10,200,0.32852069747031215,0.0,0.0,1.0,0.5396499633789062,50,17,75.18,0.32852069747031215
