scale,instance_idx,satellites,tasks,points,avg_scheduled,candidate_pairs,seconds,group
s10_n200,0,10,200,50,72.84,7284000.0,0.5329709053039551,Medium
s10_n200,1,10,200,50,73.24,7323999.999999998,0.5343620777130127,Medium
s10_n200,2,10,200,50,74.28,7428000.0,0.5425772666931152,Medium
s10_n200,3,10,200,50,72.72,7272000.0,0.5241332054138184,Medium
s10_n200,4,10,200,50,69.3,6930000.0,0.5012929439544678,Medium
s10_n200,5,10,200,50,74.16,7416000.0,0.5357213020324707,Medium
s10_n200,6,10,200,50,73.64,7364000.0,0.5375559329986572,Medium
s10_n200,7,10,200,50,72.6,7259999.999999998,0.5383956432342529,Medium
s10_n200,8,10,200,50,75.18,7518000.000000002,0.5396499633789062,Medium
s10_n200,9,10,200,50,69.88,6988000.0,0.5052037239074707,Medium
s10_n300,0,10,300,50,78.14,11721000.0,0.7949774265289307,Medium
s10_n300,1,10,300,50,72.2,10830000.0,0.7190468311309814,Medium
s10_n300,2,10,300,50,72.54,10881000.000000002,0.7461552619934082,Medium
s10_n300,3,10,300,50,74.0,11100000.0,0.7375502586364746,Medium
s10_n300,4,10,300,50,76.92,11538000.0,0.7277481555938721,Medium
s10_n300,5,10,300,50,76.18,11427000.000000002,0.7525324821472168,Medium
s10_n300,6,10,300,50,76.06,11409000.0,0.7664291858673096,Medium
s10_n300,7,10,300,50,73.06,10959000.0,0.7052793502807617,Medium
s10_n300,8,10,300,50,79.64,11946000.0,0.8138492107391357,Medium
s10_n300,9,10,300,50,76.24,11435999.999999998,0.7530298233032227,Medium
s10_n400,0,10,400,50,69.28,13856000.0,0.8125061988830566,Medium
s10_n400,1,10,400,50,71.98,14396000.0,0.9045841693878174,Medium
s10_n400,2,10,400,50,73.86,14772000.0,0.844048023223877,Medium
s10_n400,3,10,400,50,73.24,14647999.999999996,0.8695859909057617,Medium
s10_n400,4,10,400,50,77.04,15408000.000000004,0.9089033603668213,Medium
s10_n400,5,10,400,50,73.82,14763999.999999996,0.8445515632629395,Medium
s10_n400,6,10,400,50,77.68,15536000.000000004,0.9560143947601318,Medium
s10_n400,7,10,400,50,75.16,15032000.0,0.9461219310760498,Medium
s10_n400,8,10,400,50,81.7,16340000.0,0.9610557556152344,Medium
s10_n400,9,10,400,50,75.8,15160000.0,0.9141862392425537,Medium
s15_n400,0,15,400,50,107.46,32238000.0,1.6601285934448242,Large
