method,label,group,records,avg_hv,avg_igd,avg_seconds
KDPCS,KD-PCS,Small,60,0.19413055354875344,0.011640532895969523,0.1574098030726115
KDPCS,KD-PCS,Medium,60,0.21688905151104584,0.0011429749488780189,0.6245386719703674
KDPCS,KD-PCS,Large,60,0.18994397023695955,0.000334286016694067,2.6952430248260497
KDPCS,KD-PCS,Overall,180,0.2003211917655863,0.004372597953847202,1.1590638332896763
MONP,MONP,Small,60,0.18223696843511428,0.034821881393427005,4.995181620121002
MONP,MONP,Medium,60,0.20599429362182767,0.031049947060998617,20.618354229132333
MONP,MONP,Large,60,0.179403234904132,0.030912721224352808,75.86803684631984
MONP,MONP,Overall,180,0.18921149898702466,0.032261516559592814,33.82719089852439
NSGA-II,NSGA-II,Small,60,0.18291408284654442,0.05127613931358263,35.4328892270724
NSGA-II,NSGA-II,Medium,60,0.1596686237477372,0.14804781069666867,79.34422866503398
NSGA-II,NSGA-II,Large,60,0.13734030619862392,0.1551903917799379,196.8304826537768
NSGA-II,NSGA-II,Overall,180,0.15997433759763516,0.1181714472633964,103.86920018196106
SPEA2,SPEA2,Small,60,0.16522734651334486,0.07839626282919511,41.52643654346466
SPEA2,SPEA2,Medium,60,0.15893417948024083,0.14716472709911307,67.06123365163803
SPEA2,SPEA2,Large,60,0.1375797395330345,0.15276597981107629,169.13770676851271
SPEA2,SPEA2,Overall,180,0.15391375517554007,0.12610898991312816,92.57512565453847
IBEA,IBEA,Small,60,0.18270801640134368,0.051932076611289756,51.231514883041385
IBEA,IBEA,Medium,60,0.1609246399116636,0.1457717434216375,89.33787559270858
IBEA,IBEA,Large,60,0.1350542618412006,0.1583546705080429,208.64872608582178
IBEA,IBEA,Overall,180,0.15956230605140265,0.11868616351365671,116.40603885385725
MOEA/D,MOEA/D,Small,60,0.1869632984421485,0.053741091535451195,26.496926538149516
MOEA/D,MOEA/D,Medium,60,0.16564928088597525,0.14322498319525206,65.57537084420522
MOEA/D,MOEA/D,Large,60,0.13435379547643653,0.1653356509913716,137.21552033424376
MOEA/D,MOEA/D,Overall,180,0.16232212493485346,0.12076724190735828,76.42927257219951
