scale,method,hv,igd,seconds
s3_n100,KDPCS,0.19947792737806172,0.024672151479942377,0.11299731731414794
s3_n100,MONP,0.19103405399273787,0.043797774621552994,2.9862313270568848
s3_n100,NSGA-II,0.1977320244462904,0.015497453643211234,28.41688244342804
s3_n100,SPEA2,0.2018377963487573,0.03180668329945238,33.58541877269745
s3_n100,IBEA,0.2017344829297524,0.01529352747569528,45.12087709903717
s3_n100,MOEA/D,0.19439521283327532,0.03382720260847485,18.13818488121033
s3_n150,KDPCS,0.13960582972081204,0.016067958077353096,0.11373534202575683
s3_n150,MONP,0.12640114186711296,0.03733821727725397,3.6492940187454224
s3_n150,NSGA-II,0.13693082166183118,0.02747740025526125,30.535131287574767
s3_n150,SPEA2,0.1237910941249267,0.04066441303163724,36.07945740222931
s3_n150,IBEA,0.13079242617385095,0.03288488067100254,44.4287570476532
s3_n150,MOEA/D,0.13070203441366926,0.056987223510809135,20.744143652915955
s3_n200,KDPCS,0.09773705393767321,0.007838808946305436,0.13318734169006347
s3_n200,MONP,0.09761836363236139,0.03538000414426247,4.882585906982422
s3_n200,NSGA-II,0.09503658824508152,0.05471492833711803,33.21610717773437
s3_n200,SPEA2,0.08497864078344876,0.08279657655567688,39.948014044761656
s3_n200,IBEA,0.09041773616555479,0.05775204217870158,49.412422561645506
s3_n200,MOEA/D,0.101600185467085,0.059162145373081274,25.053667759895326
s5_n100,KDPCS,0.32914067542561815,0.010277587660650267,0.16712501049041747
s5_n100,MONP,0.3105337084149052,0.03457533639209412,4.536910796165467
s5_n100,NSGA-II,0.32536064314267127,0.04170772102932688,36.69080429077148
s5_n100,SPEA2,0.2916746160615492,0.07714197244201774,41.86633784770966
s5_n100,IBEA,0.33017559245290024,0.044666814529234364,50.87138049602508
s5_n100,MOEA/D,0.32686590020144474,0.05273441355062901,28.157124066352843
s5_n150,KDPCS,0.23471064611464953,0.0052813833742687295,0.19716830253601075
s5_n150,MONP,0.2150587625845989,0.03313847768881657,6.46878719329834
s5_n150,NSGA-II,0.21139255702709522,0.06324038298748805,40.12175848484039
s5_n150,SPEA2,0.17080771935717437,0.10399545113181803,47.45573899745941
s5_n150,IBEA,0.20622010922137646,0.06395382894193094,56.76270067691803
s5_n150,MOEA/D,0.2201984775984973,0.05258567956166891,31.012552237510683
s5_n200,KDPCS,0.16411118871570596,0.005705307837297229,0.22024550437927246
s5_n200,MONP,0.1527757801189693,0.024701478236581913,7.447280478477478
s5_n200,NSGA-II,0.13103186255629692,0.10501894962909035,43.616651678085326
s5_n200,SPEA2,0.11827421240421279,0.13397248051456837,50.223652195930484
s5_n200,IBEA,0.13690775146462733,0.09704136587117383,60.7929514169693
s5_n200,MOEA/D,0.1480179801389196,0.06714988460804398,35.875886631011966
s8_n200,KDPCS,0.2653303927382996,0.0008711291967428857,0.38996598720550535
s8_n200,MONP,0.24956277538072497,0.03321066025573757,13.070093011856079
s8_n200,NSGA-II,0.20147099169722268,0.14419388247196302,59.44327008724213
s8_n200,SPEA2,0.19285195819211925,0.15445776414410922,60.73433403968811
s8_n200,IBEA,0.20435640699370325,0.1344363474725921,74.93753900527955
s8_n200,MOEA/D,0.22189279007524987,0.1132710873914207,51.75673699378967
s8_n300,KDPCS,0.19105980671175588,0.0011109844376654917,0.5000614404678345
s8_n300,MONP,0.1758937054099581,0.02755003709904576,17.908567690849303
s8_n300,NSGA-II,0.1347016792555381,0.15111144494146378,73.66069855690003
s8_n300,SPEA2,0.1372492565544124,0.14620757794799893,63.91315979957581
s8_n300,IBEA,0.13473293803926611,0.15426336103234298,89.22257497310639
s8_n300,MOEA/D,0.13522297204379036,0.1540457861026824,54.18664009571076
s8_n400,KDPCS,0.1368662911457497,0.00026093640579213337,0.6802027463912964
s8_n400,MONP,0.1346996720233497,0.032201210694602814,22.862190508842467
s8_n400,NSGA-II,0.09656045953407641,0.15358125795390953,84.41901409626007
s8_n400,SPEA2,0.09534001316481343,0.15265649925581662,51.890969848632814
s8_n400,IBEA,0.09641864934444005,0.1462452600311001,85.89646089076996
s8_n400,MOEA/D,0.09382052260973087,0.1623647485705323,71.89481348991394
s10_n200,KDPCS,0.3282864433912961,0.003020636410342626,0.5291862964630127
s10_n200,MONP,0.3162752920724471,0.032709537593718266,16.68609161376953
