scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s3_n100,0,20260701,KDPCS,3,100,0.3178484209679881,0.0,0.0,0.0,0.1679997444152832,50,8,25.82,0.3178484209679881
s3_n150,0,20260701,KDPCS,3,150,0.2190004356461679,0.0,0.0,0.0,0.11648988723754883,50,10,23.68,0.2190004356461679
s3_n200,0,20260701,KDPCS,3,200,0.1939875764869337,0.0,0.0,0.0,0.1300032138824463,50,12,24.12,0.1939875764869337
s5_n100,0,20260701,KDPCS,5,100,0.455083440368167,0.0,0.0,0.0,0.16499781608581543,50,13,34.92,0.455083440368167
s5_n150,0,20260701,KDPCS,5,150,0.3249005819298534,0.0,0.0,0.0,0.19700074195861816,50,11,36.36,0.3249005819298534
s5_n200,0,20260701,KDPCS,5,200,0.2537010510108787,0.0,0.0,0.0,0.20721197128295898,50,13,35.84,0.2537010510108787
s8_n200,0,20260701,KDPCS,8,200,0.3886052657644915,0.0,0.0,0.0,0.39299988746643066,50,17,60.24,0.3886052657644915
s8_n300,0,20260701,KDPCS,8,300,0.2912533558685001,0.0,0.0,0.0,0.5183670520782471,50,15,63.86,0.2912533558685001
s8_n400,0,20260701,KDPCS,8,400,0.2235546431450999,0.0,0.0,0.0,0.740480899810791,50,16,65.82,0.2235546431450999
s10_n200,0,20260701,KDPCS,10,200,0.4515077560932612,0.0,0.0,0.0,0.5329709053039551,50,17,72.84,0.4515077560932612
s10_n300,0,20260701,KDPCS,10,300,0.3398336440203726,0.0,0.0,0.0,0.7949774265289307,50,13,78.14,0.3398336440203726
s10_n400,0,20260701,KDPCS,10,400,0.25242092112246833,0.0,0.0,0.0,0.8125061988830566,50,14,69.28,0.25242092112246833
s15_n400,0,20260701,KDPCS,15,400,0.362007353702787,0.0,0.0,0.0,1.6601285934448242,50,19,107.46,0.362007353702787
s15_n600,0,20260701,KDPCS,15,600,0.27794830422973804,0.0,0.0,0.0,2.33343768119812,50,21,115.7,0.27794830422973804
s15_n800,0,20260701,KDPCS,15,800,0.2140458660934919,0.0,0.0,0.0,2.8470492362976074,50,22,114.12,0.2140458660934919
s20_n400,0,20260701,KDPCS,20,400,0.44311920210466765,0.0,0.0,0.0,2.48580002784729,50,21,134.48,0.44311920210466765
s20_n600,0,20260701,KDPCS,20,600,0.2714397367935634,0.0,0.0,0.0,2.889686346054077,50,21,117.3,0.2714397367935634
s20_n800,0,20260701,KDPCS,20,800,0.23619231681018096,0.0,0.0,0.0,4.016490697860718,50,23,131.32,0.23619231681018096
s3_n100,1,20260701,KDPCS,3,100,0.32116983520290665,0.0,0.0,0.0,0.11541461944580078,50,8,25.96,0.32116983520290665
s3_n150,1,20260701,KDPCS,3,150,0.20879032597745678,0.0,0.0,0.0,0.11299991607666016,50,11,23.46,0.20879032597745678
