inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s3_n100,0,20260701,,KDPCS,all,0,0.3406098534066261,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,1,0.3406098534066261,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,2,0.3406098534066261,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,3,0.33734510177737315,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,4,0.3395676912207148,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,5,0.3395676912207148,0.6548914512365673
,s3_n100,0,20260701,,KDPCS,all,6,0.34115575983327073,0.7491510907305889
,s3_n100,0,20260701,,KDPCS,all,7,0.3411557598332706,0.7491510907305889
,s3_n100,0,20260701,,KDPCS,all,8,0.3392020540973991,0.7938956641484112
,s3_n100,0,20260701,,KDPCS,all,9,0.33920205409739906,0.7938956641484113
,s3_n100,0,20260701,,KDPCS,all,10,0.3274557357297535,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,all,11,0.3274557357297535,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,all,12,0.33376844862329635,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,all,13,0.33376844862329635,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,all,14,0.3271437143949846,0.8372712678552182
,s3_n100,0,20260701,,KDPCS,all,15,0.3271437143949846,0.8372712678552182
,s3_n100,0,20260701,,KDPCS,all,16,0.3271437143949846,0.8372712678552182
,s3_n100,0,20260701,,KDPCS,all,17,0.3173715520337335,0.8542420636698618
,s3_n100,0,20260701,,KDPCS,all,18,0.3084660550337359,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,19,0.3084660550337359,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,20,0.307959768674201,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,21,0.307959768674201,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,22,0.3109136374618391,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,23,0.3109136374618391,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,24,0.3109136374618391,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,all,25,0.29881116608998326,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,26,0.28459619114720625,0.9043049840414028
,s3_n100,0,20260701,,KDPCS,all,27,0.2845961911472062,0.9043049840414026
,s3_n100,0,20260701,,KDPCS,all,28,0.2845961911472062,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,29,0.2845961911472062,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,30,0.2958404811070381,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,31,0.2958404811070381,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,32,0.29149770395687175,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,33,0.29149770395687175,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,all,34,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,35,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,36,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,37,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,38,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,39,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,40,0.2755834062820288,0.9479628787624519
,s3_n100,0,20260701,,KDPCS,all,41,0.2755834062820288,0.9479628787624519
,s3_n100,0,20260701,,KDPCS,all,42,0.2755834062820288,0.9479628787624519
,s3_n100,0,20260701,,KDPCS,all,43,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,44,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,45,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,46,0.29149770395687175,0.9043049840414025
,s3_n100,0,20260701,,KDPCS,all,47,0.28686253726098915,0.8773949803852711
,s3_n100,0,20260701,,KDPCS,all,48,0.2890392289999465,0.7795431326397908
,s3_n100,0,20260701,,KDPCS,all,49,0.25082709711968604,0.7081626506529234
,s3_n100,0,20260701,,KDPCS,nd,0,0.2755834062820288,0.9479628787624519
,s3_n100,0,20260701,,KDPCS,nd,1,0.29881116608998326,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,nd,2,0.3109136374618391,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,nd,3,0.3173715520337335,0.8542420636698618
,s3_n100,0,20260701,,KDPCS,nd,4,0.3271437143949846,0.8372712678552182
,s3_n100,0,20260701,,KDPCS,nd,5,0.33376844862329635,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,nd,6,0.3392020540973991,0.7938956641484112
