scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,0,1.0,0.0,6,13,493.0,512.0,19.0,6.313229943578222,False,False
s8_n400,9,0,1.0,0.0,6,141,742.0,764.0,22.0,6.226371250694131,False,False
s8_n400,9,0,1.0,0.0,0,216,474.0,506.0,32.0,9.20934733082735,False,False
s8_n400,9,0,1.0,0.0,0,171,645.0,660.0,15.0,9.925731469678077,False,False
s8_n400,9,0,1.0,0.0,0,237,885.0,902.0,17.0,7.370381231329392,False,False
s8_n400,9,0,1.0,0.0,0,247,905.527791595459,920.527791595459,15.0,9.767674064402062,False,True
s8_n400,9,0,1.0,0.0,3,207,189.0,207.0,18.0,6.102634737950009,False,True
s8_n400,9,0,1.0,0.0,3,80,259.0,284.0,25.0,7.9700800430536685,False,True
s8_n400,9,0,1.0,0.0,2,236,237.0,266.0,29.0,9.239392466265194,False,True
s8_n400,9,0,1.0,0.0,6,55,776.5474702990093,798.5474702990093,22.0,9.002806335202258,False,False
s8_n400,9,0,1.0,0.0,5,235,330.0,372.0,42.0,8.733156516788577,False,True
s8_n400,9,0,1.0,0.0,0,229,1046.0,1082.0,36.0,8.968169956163319,False,True
s8_n400,9,0,1.0,0.0,2,239,274.72819194793703,308.72819194793703,34.0,6.46133264175788,False,True
s8_n400,9,0,1.0,0.0,7,159,22.0,44.0,22.0,6.308681465319681,False,True
s8_n400,9,0,1.0,0.0,3,108,286.0907136917114,302.0907136917114,16.0,9.342698634643044,False,True
s8_n400,9,0,1.0,0.0,3,221,1241.0,1266.0,25.0,8.027439422752416,False,False
s8_n400,9,0,1.0,0.0,3,39,1271.0,1295.0,24.0,6.850347500771226,False,False
s8_n400,9,0,1.0,0.0,3,23,1448.0,1471.0,23.0,9.774734476926028,False,False
s8_n400,9,0,1.0,0.0,3,220,1780.0,1802.0,22.0,9.69757233768817,False,False
s8_n400,9,0,1.0,0.0,6,209,1246.0,1271.0,25.0,8.151074000023314,False,False
s8_n400,9,0,1.0,0.0,6,190,1285.6413044189028,1308.6413044189028,23.0,8.219993301672014,False,False
s8_n400,9,0,1.0,0.0,4,12,489.0,524.0,35.0,9.089501648048085,False,False
s8_n400,9,0,1.0,0.0,5,199,965.0,993.0,28.0,8.19722379228924,False,False
s8_n400,9,0,1.0,0.0,3,206,1864.0,1880.0,16.0,9.142073676938024,False,False
s8_n400,9,0,1.0,0.0,3,354,2040.0,2065.0,25.0,8.303014223611447,True,False
s8_n400,9,0,1.0,0.0,6,134,1312.9863261015041,1352.9863261015041,40.0,9.983237339199523,False,False
s8_n400,9,0,1.0,0.0,6,288,1522.0,1541.0,19.0,8.728568608102293,False,False
s8_n400,9,0,1.0,0.0,7,62,303.0,319.0,16.0,4.459982938933999,False,True
s8_n400,9,0,1.0,0.0,7,149,532.0,549.0,17.0,8.587721086498338,False,False
s8_n400,9,0,1.0,0.0,7,280,733.0,754.0,21.0,8.208674857726106,False,False
s8_n400,9,0,1.0,0.0,3,14,2066.847469329834,2081.847469329834,15.0,8.935366993671323,False,False
s8_n400,9,0,1.0,0.0,6,64,1590.0,1621.0,31.0,8.152499299762765,False,False
s8_n400,9,0,1.0,0.0,6,110,1751.0,1766.0,15.0,9.620954205335174,False,False
s8_n400,9,0,1.0,0.0,0,56,1092.245821762085,1115.245821762085,23.0,7.385759828212739,False,False
s8_n400,9,0,1.0,0.0,3,299,2139.0,2168.0,29.0,7.565648918339558,True,False
s8_n400,9,0,1.0,0.0,4,99,526.3931365966797,564.3931365966797,38.0,9.63971181018958,False,True
s8_n400,9,0,1.0,0.0,2,268,705.0,739.0,34.0,8.439158353883041,False,False
s8_n400,9,0,1.0,0.0,2,261,794.0,819.0,25.0,6.713823542134304,False,False
s8_n400,9,0,1.0,0.0,2,252,1092.0,1113.0,21.0,6.34891743499303,False,False
s8_n400,9,0,1.0,0.0,5,52,1551.0,1580.0,29.0,8.619436500493208,False,False
s8_n400,9,0,1.0,0.0,1,2,959.0,982.0,23.0,9.923632132114937,False,False
s8_n400,9,0,1.0,0.0,1,21,984.4574387848377,1020.4574387848377,36.0,9.268824860483834,False,False
s8_n400,9,0,1.0,0.0,1,32,1022.5620862960815,1038.5620862960814,15.999999999999886,7.879202051515812,False,False
s8_n400,9,0,1.0,0.0,1,242,1204.0,1222.0,18.0,7.341398939687819,False,False
s8_n400,9,0,1.0,0.0,6,183,1767.9814204498273,1784.9814204498273,17.0,7.349011005468564,False,False
s8_n400,9,0,1.0,0.0,7,111,759.0646243095398,781.0646243095398,22.0,7.05280171392589,False,True
s8_n400,9,0,1.0,0.0,2,95,1125.0,1155.0,30.0,8.493004624290862,False,False
s8_n400,9,0,1.0,0.0,4,30,1331.0,1371.0,40.0,9.195187068757972,False,False
s8_n400,9,0,1.0,0.0,4,292,1884.0,1919.0,35.0,9.10287553320218,False,False
s8_n400,9,0,1.0,0.0,4,352,2066.0,2086.0,20.0,7.966789027740229,True,False
s8_n400,9,0,1.0,0.0,5,147,2141.0,2158.0,17.0,9.025962909008253,False,False
