num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,nd_points,seconds,seconds_per_pref,avg_scheduled
20,s3_n100,small,0,20260701,3,100,0.317657187868134,7,0.10700035095214844,0.0053500175476074215,25.8
50,s3_n100,small,0,20260701,3,100,0.3178922602393136,8,0.12100005149841309,0.0024200010299682616,25.86
100,s3_n100,small,0,20260701,3,100,0.3178922602393137,8,0.2105705738067627,0.002105705738067627,25.89
150,s3_n100,small,0,20260701,3,100,0.3178922602393137,8,0.3090028762817383,0.0020600191752115885,25.886666666666667
200,s3_n100,small,0,20260701,3,100,0.3178922602393137,8,0.4109916687011719,0.0020549583435058596,25.89
20,s3_n100,small,1,20260702,3,100,0.3204471221454662,9,0.06215071678161621,0.0031075358390808107,26.05
50,s3_n100,small,1,20260702,3,100,0.3212257817335098,10,0.11959528923034668,0.0023919057846069334,26.08
100,s3_n100,small,1,20260702,3,100,0.32190232008577274,13,0.2109999656677246,0.002109999656677246,26.09
150,s3_n100,small,1,20260702,3,100,0.3216172196259397,12,0.31264495849609375,0.0020842997233072916,26.08
200,s3_n100,small,1,20260702,3,100,0.32404760471013794,13,0.4190025329589844,0.002095012664794922,26.085
20,s3_n100,small,2,20260703,3,100,0.29291335210544284,7,0.058001041412353516,0.002900052070617676,23.65
50,s3_n100,small,2,20260703,3,100,0.29314831426516136,9,0.11100077629089355,0.002220015525817871,23.52
100,s3_n100,small,2,20260703,3,100,0.2959994179200254,10,0.20114636421203613,0.0020114636421203614,23.55
150,s3_n100,small,2,20260703,3,100,0.29641247527924186,11,0.30224037170410156,0.0020149358113606772,23.553333333333335
200,s3_n100,small,2,20260703,3,100,0.29615152013693313,10,0.47708773612976074,0.0023854386806488035,23.555
20,s3_n100,small,3,20260704,3,100,0.2812693179630183,7,0.053670406341552734,0.0026835203170776367,21.5
50,s3_n100,small,3,20260704,3,100,0.2883069701783046,8,0.10000109672546387,0.0020000219345092775,21.42
100,s3_n100,small,3,20260704,3,100,0.2887847706886758,9,0.20407581329345703,0.00204075813293457,21.44
150,s3_n100,small,3,20260704,3,100,0.2887847706886758,9,0.3220024108886719,0.0021466827392578125,21.406666666666666
200,s3_n100,small,3,20260704,3,100,0.2887847706886758,9,0.41700029373168945,0.002085001468658447,21.395
20,s3_n100,small,4,20260705,3,100,0.3317424889171007,8,0.06100058555603027,0.0030500292778015137,24.7
50,s3_n100,small,4,20260705,3,100,0.3333470465514825,10,0.11400079727172852,0.0022800159454345703,24.8
100,s3_n100,small,4,20260705,3,100,0.3347268397418347,11,0.23074746131896973,0.0023074746131896973,24.8
150,s3_n100,small,4,20260705,3,100,0.3364361687048881,11,0.36211156845092773,0.002414077123006185,24.833333333333332
200,s3_n100,small,4,20260705,3,100,0.3364361687048881,11,0.478759765625,0.002393798828125,24.825
20,s3_n100,small,5,20260706,3,100,0.33392020756556656,10,0.061000823974609375,0.0030500411987304686,24.8
50,s3_n100,small,5,20260706,3,100,0.3391411870093159,9,0.11305999755859375,0.002261199951171875,24.7
100,s3_n100,small,5,20260706,3,100,0.3395062274096757,9,0.20600032806396484,0.0020600032806396486,24.68
150,s3_n100,small,5,20260706,3,100,0.34019599197323375,9,0.29755282402038574,0.0019836854934692384,24.686666666666667
200,s3_n100,small,5,20260706,3,100,0.33962388070839317,9,0.4091641902923584,0.002045820951461792,24.68
20,s3_n100,small,6,20260707,3,100,0.31634900285612344,9,0.05800056457519531,0.0029000282287597657,22.8
50,s3_n100,small,6,20260707,3,100,0.31977981800032984,9,0.10900020599365234,0.002180004119873047,22.9
100,s3_n100,small,6,20260707,3,100,0.32023203761845553,10,0.19306612014770508,0.0019306612014770507,22.91
150,s3_n100,small,6,20260707,3,100,0.32023203761845553,10,0.3600008487701416,0.0024000056584676105,22.893333333333334
200,s3_n100,small,6,20260707,3,100,0.32023203761845553,10,0.4800729751586914,0.002400364875793457,22.89
20,s3_n100,small,7,20260708,3,100,0.2921455944152819,7,0.054601192474365234,0.002730059623718262,22.55
50,s3_n100,small,7,20260708,3,100,0.29352202712600334,8,0.10307574272155762,0.0020615148544311525,22.62
100,s3_n100,small,7,20260708,3,100,0.29405586741843376,9,0.18777227401733398,0.0018777227401733398,22.67
150,s3_n100,small,7,20260708,3,100,0.29405586741843376,9,0.27306056022644043,0.0018204037348429362,22.686666666666667
200,s3_n100,small,7,20260708,3,100,0.29405586741843376,9,0.3699989318847656,0.001849994659423828,22.685
20,s3_n100,small,8,20260709,3,100,0.3100305616101231,7,0.05799984931945801,0.0028999924659729006,23.7
50,s3_n100,small,8,20260709,3,100,0.31579731175058734,10,0.10900044441223145,0.002180008888244629,23.74
100,s3_n100,small,8,20260709,3,100,0.31579731175058734,10,0.1979999542236328,0.001979999542236328,23.73
150,s3_n100,small,8,20260709,3,100,0.31579731175058734,10,0.3720836639404297,0.0024805577596028645,23.733333333333334
200,s3_n100,small,8,20260709,3,100,0.31579731175058734,10,0.4585564136505127,0.0022927820682525635,23.725
20,s3_n100,small,9,20260710,3,100,0.2932989092416261,9,0.05299973487854004,0.002649986743927002,20.75
50,s3_n100,small,9,20260710,3,100,0.296896124681289,14,0.0989983081817627,0.001979966163635254,20.82
100,s3_n100,small,9,20260710,3,100,0.29602372131931587,12,0.17563509941101074,0.0017563509941101074,20.8
150,s3_n100,small,9,20260710,3,100,0.2972051846803726,14,0.2555115222930908,0.0017034101486206054,20.813333333333333
